Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,104953000,252043000,2992000,140643000,767000,67189000,26000,1184000,3019000,252043000,78684000,209926000,18886000,112959000
2016,99595000,255498000,10943000,142763000,1506000,73698000,156000,2280000,2417000,255498000,85739000,213211000,17899000,117629000
2017,97690000,254924000,9035000,113220000,1019000,77423000,101000,148000,1714000,254924000,90383000,215501000,18595000,117528000
2018,96790000,258347000,4533000,106458000,3618000,77367000,227000,517000,2038000,258347000,94305000,220510000,22681000,117884000
2019,105209000,258157000,10837000,122199000,293000,78930000,170000,587000,1938000,258157000,80821000,241286000,24753000,119536000
2020,129627000,264969000,4995000,143755000,4263000,75919000,841000,1358000,2154000,264969000,79092000,241717000,30446000,128465000
2021,142631000,267108000,5788000,153205000,3988000,81415000,2942000,350000,2007000,267108000,82582000,248800000,28614000,133680000
2022,156086000,280499000,5717000,167524000,9527000,87569000,2442000,2080000,2179000,280498000,102856000,249895000,21321000,146311000
2023,220360000,291243000,16695000,196275000,57676000,112249000,450000,1705000,2705000,291243000,110948000,260556000,21382000,151725000
2024,201513000,318957000,10845000,179527000,54586000,116086000,213000,9172000,2819000,318958000,122123000,265461000,23610000,176034000
