Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,138877057,601218400,1491871,154018368,8285619,160572047,2749567,14969252,3921989,145676294,639942495,6961458,204109337
2016,133025607,610396625,1383587,153501133,15225629,175649283,1557260,22212170,3356234,160087683,654151570,6748375,213308872
2017,145110617,559612506,13931390,158134890,1043354,181976166,2443054,20950005,2980513,146561446,617012349,8299855,218608482
2018,161012774,573577917,8720107,156184504,5477489,204119924,2423768,28677384,2920824,161824223,630631633,8113427,229860930
2019,180123826,589570299,17502916,175999569,553931,217091931,2056001,30063441,2980513,170556298,643920100,12515740,237774320
2020,217317281,588040609,9339749,179221476,6722066,206582502,3427631,18972626,2745698,177261487,656386840,11789325,246427444
2021,278789498,582337285,15103728,215274463,13780646,207670608,4874743,14231086,2980513,178217761,669653463,12634120,254444117
2022,275627753,613212021,11293886,217687305,16379513,221511182,5477428,15234437,2312561,208696514,678456526,22864855,249110548
2023,264191633,642804869,32245235,258344978,1722309,246936191,3639508,5943311,4966234,237421590,681149414,32912272,262354687
2024,351308925,660737007,23476570,316637781,1599914,294920621,10617394,22779204,4022874,255113420,681221345,23277223,281859693
