Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,508000000,2299000000,36000000,924000000,12000000,493258000,12700000,11627000,22299000,2299495000,321956000,2259296000,143849000,914966000
2016,598000000,2327000000,97000000,1024000000,15000000,553760000,62107000,7634000,23016000,2329029000,357752000,2281543000,92549000,1007858000
2017,640000000,2384000000,86000000,1094000000,11000000,532585000,14754000,12994000,19209000,2383566000,386265000,2331373000,122235000,1028282000
2018,941000000,2677000000,85000000,1706000000,66000000,580761000,20345000,10206000,29247000,2677499000,629373000,2403973000,143756000,1060801000
2019,798000000,3384000000,155000000,1906000000,50000000,1019781000,15849000,415881000,37378000,3384739000,1266400000,2494030000,121005000,1140723000
2020,840000000,3802000000,240000000,2015000000,98000000,988707000,21193000,383856000,38627000,3801248000,436101000,3783364000,122454000,1193537000
2021,917000000,3806000000,77000000,1867000000,84000000,685362000,58366000,7851000,39204000,3805984000,461584000,3800176000,163239000,1226645000
2022,1177000000,3817000000,65000000,1970000000,189000000,731306000,44613000,10410000,37603000,3817268000,397097000,3904675000,219370000,1252522000
2023,1082000000,3883000000,168000000,1948000000,180000000,808722000,24544000,10075000,35378000,3882862000,423744000,3928862000,238879000,1364389000
2024,1138000000,4192000000,102000000,1938000000,377000000,849394000,37160000,8963000,46136000,4191977000,503751000,4185041000,265033000,1433804000
