Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,12544098,41892306,1282299,27096654,13480,25660297,1112129,320729,164035,1409837,23945275,792616,38094415
2016,11536591,43938769,2847998,31097629,10579,26750619,1101685,9167,99701,1486004,25735976,1060935,39027602
2017,11215609,46090030,2417337,30262255,252151,29035774,770655,1206742,171188,1585552,28330652,885293,40240474
2018,14886549,46639475,1397831,29992679,1273395,30514898,910643,556588,150668,1522736,27905740,2245131,40079910
2019,20203097,48975600,2812609,37564034,463195,32887079,874368,924668,310562,2749281,28794243,3205965,41332911
2020,23417014,49431663,1375510,34245835,1474495,35230976,1308043,1358644,272751,4758683,28926260,3218339,41579443
2021,29054954,53451747,1434500,35553499,1222548,39225394,1333314,1324355,235795,9635826,29943499,3605569,42005561
2022,38836771,56964798,2271590,37227789,2919269,44031598,755160,2397663,233984,2239036,42685369,792615,45832534
2023,43209968,59408710,5620211,40652108,370767,46101371,856526,2965502,273847,6324355,43784902,792615,46574521
2024,49159614,63115011,3930475,36641070,536508,48804025,1869113,2424370,329065,5207454,51129198,792615,48002408
2025,67780619,68256161,2888858,43230168,1130045,54360272,1342923,3710965,690025,8712372,55480302,860115,49432992
