Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,36188000,91950000,1383000,75124000,206000,58640000,61000,406000,1301000,10166929,179290842,2962261,82070925
2016,65813000,89151000,2663000,96438000,504000,64245000,42000,298000,932000,10952755,181238720,2327352,83407197
2017,62432000,88944000,2655000,91284000,367000,62833000,25000,1137000,750000,8026417,187191660,534040,88913050
2018,140278000,95509000,2240000,168137000,1204000,68636000,46000,942000,1265000,8779623,188121707,11921632,89588369
2019,140129000,101590000,3229000,170423000,622000,71989000,64000,339000,2964000,12268353,190229910,2198747,105313700
2020,149848000,106085000,1923000,170509000,1935000,75647000,1980000,736000,2753000,15993279,191315020,3829504,107003269
2021,137530000,132376000,3254000,196533000,912000,76170000,826000,1180000,2576000,46084485,187235876,6175066,107485789
2022,109862000,170263000,3358000,190895000,3757000,85588000,3660000,864000,2489000,81070661,190276859,8010909,108162330
2023,122575000,180803000,6776000,204370000,1073000,90176000,1331000,3818000,2629000,90313481,179155921,2501744,116860361
2024,137179000,197175000,5186000,219915000,543000,92737000,1426000,110000,3345000,26815823,251090801,15430939,116890475
2025,134851000,196915000,4336000,207103000,1731000,102375000,5980000,1475000,3827000,20610366,259236356,16690174,120829707
