Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,28384377,50636371,1657872,19512562,109838,22630905,466660,1310000,313493,11989656,94658280,0,0
2016,29778139,50865054,3804311,20973629,471494,20666714,641443,0,239440,12924312,95425454,0,0
2017,29794167,50867110,3148623,20285146,881861,21197741,449344,0,227764,14604365,95664544,0,0
2018,25078690,55028706,1438875,17339101,2091071,21747938,422003,0,188808,18167698,98091938,0,0
2019,23655027,58062584,4170327,20335495,778570,23829916,556795,0,160953,16691973,104480028,0,0
2020,16634564,61744921,1824475,15802172,2124069,24240148,1800856,0,178055,20415561,106551692,0,0
2021,43034704,58669678,2459745,35564411,2528196,27676474,2911733,85760,479671,15098271,110995392,0,0
2022,46616915,62470997,2372077,31376667,4193938,32781165,3240927,2844902,567982,19810477,112328328,0,0
2023,37160181,76919588,6492320,42261699,361938,30909466,0,1543757,543455,32765848,115973899,0,0
2024,36413979,85109481,3908577,39191609,657498,35833863,2797602,1616890,519568,39368411,120104994,0,0
2025,34185731,83788261,2722726,35126117,1920468,33463086,1229206,199290,485004,38556416,120323124,0,0
