Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,197624000,511631000,10260000,231955000,1560000,175240000,60000,5944000,6251000,511631000,110189826,424905731,2700014,275721808
2016,206042000,528587000,32522000,267009000,1747000,183981000,325000,3878000,6125000,528587000,111874278,457307783,2377918,279417055
2017,213996000,548384000,25214000,271753000,1511000,196245000,144000,6911000,6293000,548384000,103152255,503123385,2495415,281926510
2018,239432000,558132000,9038000,265901000,10797000,210851000,247000,5944000,6325000,558132000,105626746,528067810,2500330,286533636
2019,282886000,572924000,38404000,324314000,11327000,224782000,84000,10122000,6037000,572924000,109454890,548358905,2582671,296931258
2020,326816000,578612000,7567000,295214000,15039000,235277000,9301000,3063000,6265000,578612000,106073396,577561654,2583625,299870935
2021,363698000,584105000,7582000,288953000,14245000,242894000,8551000,6255000,5924000,584105000,101652479,604243274,6535917,305103211
2022,431800000,612749000,11241000,281892000,41732000,260365000,13222000,14606000,6055000,612749000,110068923,640030396,8413687,314176979
2023,445963000,648211000,45926000,337727000,3558000,275693000,2222000,1970000,7031000,638944000,118305374,678046924,2887512,328045609
2024,478508000,694486000,27160000,338071000,4195000,294424000,1702000,1360000,6556000,687627000,136721932,731418710,3121133,334931481
