Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,118428072,217689650,3537559,189139344,279506,67352653,2001494,1305877,2405818,15673084,248807518,404847,82647484
2016,110616450,224992269,8534879,196088051,215767,69732842,2666399,4838045,2405818,27015302,250311280,3090434,82978900
2017,63842645,227916174,7941346,105121148,152030,71680532,2537822,3306843,1874383,35503731,252241465,3049456,84777923
2018,71232547,225241606,4335813,101162000,2748787,74137674,4374471,1453039,1910803,18930087,275033089,371015,87989930
2019,91777557,225284536,8571741,126102599,466829,76361239,3824331,1334107,2431803,24311737,277630050,586003,89390574
2020,106570275,223279248,3978745,129244814,3692765,78563451,4940619,868957,2524393,27540200,282079541,1038320,89513293
2021,114769400,223322870,5279050,131598809,3350006,86291309,5067806,7571519,2565869,33088196,286636117,904149,90061409
2022,145017800,233965607,6978055,149076697,10512282,103308422,4626678,2740043,2317319,47182331,288902865,4058669,90998401
2023,152337098,259062890,15873717,184174616,10649824,103430676,4651946,2106800,3524879,62931529,308910357,2749018,94462095
2024,152931354,278123061,10649824,168151923,3734965,127084186,4431069,7442196,3169529,38910864,359562875,6970532,95155829
2025,177974276,279392846,6255148,166713211,4857626,120379583,1565581,3895737,4340487,31270119,380688328,3542791,99876237
