Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,23840751,45923059,0,176140,36549815,17345108,214115,670527,635090,45923059,3523266,29519998,1981644,24985643
2016,41256515,64162326,558013,65763150,28787,24476610,368784,3378909,710249,64162326,6945936,34295159,13227734,25016921
2017,48773261,73262205,548664,75664581,60483,29179086,356258,1011625,787001,73262205,3920321,40342603,5487008,40346735
2018,103447144,106339021,459391,136527187,224176,59354021,201610,23798559,840645,106339021,6502320,60523076,12898233,46578989
2019,109426056,147386739,890784,161926373,47591,49216899,1291079,180890,1953396,147386739,19651746,61809133,43333957,46679946
2020,92042399,217257676,670475,156492066,333014,100474452,2764624,39493509,1752515,217257676,28801507,91808107,20467732,107532422
2021,192261783,288519929,804864,249002153,344878,129704499,3636696,33726949,2320903,288519929,55590705,119480169,12265544,140169334
2022,264713609,377450221,972540,328118396,3649177,136225953,2347930,32541345,3634414,377450221,74863558,137622200,44003139,169104628
2023,315025954,600617477,3447986,447045346,2858500,239777172,1282378,111775599,4973647,600617477,126511123,197179101,103605892,233091707
2024,426232292,900780604,3533801,575419496,3184217,388678213,3161584,208064332,9370480,900780604,187337175,307635840,99860031,383428650
2025,392248921,1319898578,3999712,712283558,3993934,382885964,3888018,177346715,13210543,1155676528,196439339,430072916,75553532,560711022
