Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,59975226,159786365,468288,21063042,0,54929658,450559,10074527,536161,14301283,151489244,4077996,76660524
2016,62260837,156245614,5453642,21798458,43821,45639160,514845,362645,614159,9840217,158053387,304839,81065090
2017,64751651,156766193,3850970,19454142,32197,48187397,507616,1783587,408268,11488572,161408234,1405205,81805830
2018,73206838,156511916,2889573,18914212,2967742,49830121,614794,683733,334839,13842523,163941155,1827201,82716955
2019,73582530,154035327,4739678,20660028,45848,49748168,771681,557875,300840,10749674,169996838,586582,85057685
2020,73669616,159478395,2418600,15026830,2008931,56469929,2346529,5000843,234986,12510629,175619499,2566679,86402852
2021,77476547,162916370,2675468,12026852,1862724,59492667,3491361,198935,111944,13879739,181359813,3360600,89308286
2022,88209311,163723797,2288198,9241726,4897834,61510497,4503936,1222226,30510,14655218,185275348,1557453,92891450
2023,94016297,171417838,6536715,27174174,499512,63719107,2472880,210095,590667,18940829,195265875,1215326,94105862
2024,100909044,175113752,3844644,31354896,431417,67897613,2200169,1594741,541428,22282429,197735017,2958311,95129580
2025,100472378,180818724,2717791,29364538,1164668,72880599,1023475,2099928,642060,18142998,210151872,2321623,102375064
