Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,165200000,289200000,5900000,141900000,300000,102700000,100000,10500000,3400000,289200000,57606618,388138005,1537273,102104485
2016,148000000,320300000,12500000,150300000,700000,103700000,0,4100000,3300000,320300000,90455511,399858070,980592,103505989
2017,147600000,326600000,10600000,137200000,600000,116100000,500000,4000000,3200000,326600000,42948873,469500850,1063734,104862495
2018,206300000,328700000,6300000,172200000,4100000,119400000,700000,1300000,3000000,328700000,47196626,480767216,3640098,106055720
2019,212600000,343200000,13400000,179600000,500000,129600000,400000,800000,4700000,343200000,68684340,486170363,6739241,107396021
2020,234200000,371200000,9000000,162700000,5200000,128200000,1700000,700000,3900000,372927552,81391944,515931912,1341467,115382911
2021,288200000,374300000,6700000,203500000,6000000,143200000,3500000,300000,4400000,374300000,55710590,562270522,1717485,113775986
2022,329500000,355300000,7600000,182300000,16300000,151600000,2200000,1400000,3700000,355300000,41277841,570516020,5912708,114482106
2023,361400000,364700000,21400000,200000000,4600000,162300000,4300000,1000000,3700000,364700000,48923005,585488825,9956824,115797122
2024,453000000,364700000,13700000,234300000,4800000,165700000,2600000,100000,4000000,364700000,53313948,598889390,11588891,115903650
