Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,19781203,81300946,1306976,35078031,242819,30129138,299613,987761,613346,3826297,45695299,846666,30932684
2016,30115246,82553525,2561483,48523435,692434,31838127,189114,1781265,747838,7058094,44246675,886041,30362715
2017,35862690,85371528,2565734,54024709,536263,36903502,97506,4627434,844665,11883036,41390534,559080,31538878
2018,29791957,89112927,1447039,47886687,1748905,35665136,277286,2204241,828591,9033143,48845989,1023803,30209992
2019,50097104,89039386,3176049,70108899,944466,37440910,370016,2130837,1201636,10080502,46956065,2091440,29911379
2020,50188196,87948415,1749778,65420408,1773850,39347936,1528396,2331923,1126076,14077646,43001753,1068458,29800558
2021,63836888,88728391,1658625,79791870,1646842,41669572,764695,2413401,1886621,11839181,47494534,1129865,28264811
2022,67446831,95728554,1822114,82112494,3294750,49150449,812985,5991712,1338507,18760882,46796150,2431850,27739672
2023,67297227,111207854,5684186,97493607,551235,57091608,516860,6839660,986950,33649165,45206753,1425379,30926557
2024,65886883,121609642,3977214,88811605,409646,61162601,642661,5580329,1535440,37895195,48507934,1544585,33661928
2025,67573155,118180313,3378413,84366604,1798289,59698284,592955,2265811,1539083,40477047,45156869,1878052,30668345
