Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,2327992000,9792453000,788902000,12287920000,20432000,2496184000,82975000,80847000,63404000,9792453000,789232000,4959304000,964968000,7622558000
2016,2419093000,10297339000,3247351000,16073941000,34855000,2650703000,81903000,68409000,80890000,10297339000,884770000,5092230000,1354408000,7779465000
2017,2581895000,10597552000,2335372000,14423265000,1619240000,2802821000,79989000,86908000,70676000,10597552000,874245000,5304074000,1480220000,8023940000
2018,2901746000,10974218000,1422873000,10983037000,3717505000,2989172000,79163000,87159000,70693000,10974218000,915072000,5541296000,1427174000,8462021000
2019,3204172000,11347973000,1912968000,12887070000,2819306000,3108059000,78039000,107819000,78124000,11347973000,991087000,5774862000,1581872000,8665300000
2020,3412001000,11639453000,1089462000,12969622000,1949562000,3181977000,233854000,70352000,76948000,11639453000,1107781000,5953722000,1529972000,9019618000
2021,3840468000,12108191000,1583309000,14146662000,1219526000,3440643000,269411000,111859000,58792000,12107811000,1129237000,6304349000,1570177000,9286189000
2022,4202024000,12482369000,974718000,12429788000,2252027000,3660182000,228428000,95922000,69798000,12482369000,1216163000,6524167000,1750709000,9502162000
2023,4914195000,13053836000,2247516000,15378526000,1100654000,4129864000,256178000,123201000,72606000,13053836000,1152084000,7031312000,1941253000,9989154000
2024,5766480000,13586063000,1561561000,15746084000,817877000,4603998000,353269000,187569000,107728000,13586063000,1194872000,7328154000,2166000000,10372150000
