Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,66044020,197397026,3207303,95653301,794755,67943493,1228969,0,2807023,197397000,26702215,215473570,2772154,113603083
2016,68448991,196746868,9359406,98950352,1549576,71510336,1084583,250000,2352141,196747000,27506739,219373499,6316779,114336582
2017,78950591,193541048,9377187,100993487,3134124,73813778,1148587,250000,3138147,193541000,29809864,222777631,3607012,117837120
2018,81036090,192191384,3159716,89622680,3885071,76920963,1009861,150000,1797897,192190000,29537472,230187956,5057633,119109074
2019,95750969,194056961,8821748,107752869,1276585,82128909,1260717,0,1805323,194056962,34127312,235232592,6004675,120868476
2020,103837882,193268058,3408374,95718886,4597608,86419606,2047972,0,1600395,193268058,39766589,237188655,5199412,123413454
2021,137555622,193448705,4490816,119009955,4290914,91477136,3223484,0,2063663,193448705,46804098,237881076,7935451,124155103
2022,165037561,207119871,4177451,141139923,9386554,100066568,4484116,36799,2119966,201766806,35139487,266456535,9364687,127078499
2023,153496183,214681193,13820638,147808480,756867,109353098,3458994,858654,2082307,214681193,44349917,274676562,11335729,133768424
2024,208638650,220512301,9500446,183985753,1064325,123355808,5314254,1593767,2569045,220512301,47813388,284356040,13813257,137096673
2025,241096617,258264438,5905610,221886510,2483405,142355556,5404640,4014724,4522586,258264438,87101992,286089275,22506295,138143837
