Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,34272735,95830318,1539231,17393543,92614,48573867,1468719,32770,10183,20199227,101247159,2531667,59481361
2016,30141323,96573030,8899867,19282565,55727,50818726,392198,0,42189,20149061,102964094,1592554,63467095
2017,33429849,100036928,891232,21507900,35696,58122255,1852454,2339688,35472,20536934,105301807,1778785,68594808
2018,43322418,96946671,2503153,16776662,2773017,58034333,1330855,30000,28529,20547302,106616142,1581204,69642455
2019,69885051,96581776,8786946,48915066,305390,59149442,1274451,69522,793999,20748263,107485357,4046079,69707947
2020,67790634,100749214,2945143,38308053,3794586,58057559,2273785,120370,695379,23363898,108471030,5009170,74576256
2021,77621971,102839640,2719617,40742296,4234062,61927588,2700228,59963,749574,23173611,112113441,4425104,79201105
2022,86702731,104108003,2251650,40538111,3809254,66411330,2943316,972375,671617,25583006,113411982,6266812,80306479
2023,81602291,118523151,10075147,44764455,1851312,77654440,6719589,372491,641952,34609420,118185616,10632619,81188207
2024,79606433,126685692,6048455,39552311,2064844,78864827,5446781,2054500,590761,27160183,135205524,5549449,90205273
