Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,81419000,193676000,6321000,86458000,615000,92751000,598000,4976000,1137000,37274652,163430201,3889520,123189922
2016,94398000,212157000,14499000,113081000,1432000,102071000,578000,6319000,1807000,39992484,179015498,8888168,126620409
2017,88140000,225961000,11962000,107109000,1368000,104145000,593000,4637000,1503000,46184077,186344445,3690399,140341302
2018,106934000,229009000,5732000,114874000,6326000,110208000,741000,4084000,1632000,50638540,190335803,4571958,142868266
2019,130965000,236737000,15394000,150191000,1058000,112488000,622000,4363000,2011000,58913284,192570991,8825712,145810917
2020,133146000,254866000,5644000,137651000,6759000,110670000,3595000,4869000,2561000,65976846,204361358,10980323,152986262
2021,146005000,265039000,5408000,140824000,7544000,113303000,811000,1398000,2507000,63802876,222242052,14046986,154087494
2022,176273000,273291000,6956000,138515000,21743000,129932000,1055000,1806000,2417000,62881042,230489680,16423491,162919762
2023,209944000,273596000,23386000,184620000,5886000,140204000,1163000,1549000,2414000,59655008,242931055,7106381,173488661
2024,223599000,285500000,14712000,160459000,11390000,156862000,579000,8297000,2912000,57276134,262280675,10463084,178603930
2025,215163000,321530000,10128000,138831000,13442000,174119000,547000,17047000,2732000,73497706,284521608,9533524,190074101
