Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,59829195,171372610,148085,108967139,0,76805028,335647,405071,2344088,171372610,45591986,192996310,1923292,99608180
2016,58592634,172881230,17027000,120346286,2617777,81730035,349473,253844,2359900,172881230,41855236,201753610,2546330,99914163
2017,57848576,172946178,13770552,107482670,762290,88288172,600602,560197,2217026,172946178,42354115,207296218,1250520,101810623
2018,86776097,187405398,5565935,121025899,5845902,108699897,719367,9840776,2812608,187405398,43621810,221109811,4471082,105358486
2019,93287231,209489854,18355546,142825313,206068,124892637,516444,14370166,3474315,209489854,49117196,238349845,3399744,115613327
2020,96961761,229151404,6257715,114845762,8071779,117162894,2177925,8636750,1823611,229151404,50844804,261742202,748388,122083805
2021,110721113,239454041,5340722,111768267,8448909,118142567,1565257,4757598,1527200,239454041,54547187,272818322,4668039,123444983
2022,155200539,248113517,8928888,123532216,24079484,125310409,930087,1078371,2064562,248136121,46250497,289065292,11372870,127932496
2023,165592958,263650892,30432843,159007448,8968822,154706632,2356770,2417295,2873370,263650892,55101771,294287552,17862104,130637545
2024,164722231,299019500,20312644,145401459,10374033,152962152,815576,2219101,1540892,299019500,84323705,302203037,13609232,144809938
