Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,119581054,427311618,4270538,166142570,0,126439187,2248278,12136134,2048454,43503156,468355872,30520430,222583245
2016,134578011,439690887,12584756,183961238,0,134729858,1561498,17177976,2166224,48116163,486271922,25224026,238427268
2017,165596791,475445998,12065250,214097950,0,153752792,2667162,25105742,1976019,55820802,510767344,24347489,259235563
2018,169436221,520278163,8075848,207023349,3176129,171735097,374203,32762266,2510411,76702374,542179145,20560188,275203391
2019,193149189,550767104,13659699,233373789,510372,163665650,183013,22318513,2449547,96290248,559774502,15828705,293651487
2020,190469867,575661688,7921991,222562148,4999326,162677663,2239746,15565635,2332467,89074433,588915783,29387298,300602333
2021,200642875,587335412,7540901,214791100,4190520,174041099,2313000,19068773,2015265,84455488,614524584,31155336,315319462
2022,225902659,592417744,7239709,197629176,11279488,188955628,3601013,16371760,1741793,79025353,643936409,28519505,325743006
2023,262691806,598149101,18351483,218091273,432999,206355596,1239871,14761496,1489993,86802420,660957016,14145910,348921653
2024,262178282,624017078,13368541,208983409,2902932,207063814,2984114,8584639,1226657,90957984,690640195,30556117,353711775
