Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,70428661,69982984,1248683,78225088,0,34193759,348145,33317,3157842,8265880,64233947,2295971,21723483
2016,68015659,70720546,1937832,75251248,691452,34191963,7350,621493,2724252,9463722,62895341,1842550,24050688
2017,68467448,77484748,2159883,72780407,816342,41640635,10000,94353,2331716,13753120,64548757,5299125,24171931
2018,74686255,79822441,1863231,64832559,1218812,51865028,7681090,361254,1875357,14685822,65359274,8067174,24792294
2019,61286569,92421673,3360752,61144108,578549,46021230,1920092,4648,1662180,14195727,72539406,12879032,28879741
2020,69114704,98748362,3110411,51184173,1193982,64197368,3167785,4927888,1446262,17525774,73448737,12739651,34180817
2021,85269523,97839017,3151539,48342071,1053837,68936912,1802795,2305917,1092306,7939984,85905389,759821,46607425
2022,86844534,162258709,3241499,42837193,2125427,77939573,47156,13080720,801325,13662356,126021184,1776112,68998367
2023,95803437,184774705,5471175,41639715,245598,103951759,1885135,24400487,579475,16854779,143053599,2797691,77090989
2024,92658124,238232449,4347695,39647759,173540,131684042,483997,45668721,445340,17618765,181804793,6538377,96097011
2025,96672397,249695828,3911439,35093164,805818,113936889,1685505,14870189,428307,21403407,193050656,7551326,102020395
