Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,1439376000,4818437000,106813000,4404447000,93806000,1526535000,37810000,151411000,26448000,622997000,3368048000,556732000,3540306000
2016,1569057000,4974166000,565171000,5085685000,84246000,1628640000,61189000,164518000,30493000,568915000,3637028000,520928000,3725053000
2017,1899044000,5270793000,1323340000,6531707000,68800000,1742923000,54497000,245585000,31636000,557993000,3878594000,557232000,3939124000
2018,1932500000,5437022000,1234838000,6683264000,455268000,1789449000,65082000,198818000,30844000,621402000,3980408000,514104000,4181389000
2019,2171805000,5659892000,971060000,6686296000,496402000,1942246000,76267000,259254000,32715000,495926000,4375547000,542053000,4336135000
2020,2496130000,6475514000,1308335000,6248476000,336137000,2590052000,662064000,283756000,33443000,478741000,5181426000,644117000,4509777000
2021,2766190000,6916062000,970873000,6490064000,275907000,2226893000,191057000,343277000,30753000,515664000,5486133000,718600000,4773464000
2022,3097414000,7243454000,526886000,6295537000,411903000,2355817000,145939000,343178000,31875000,533695000,5774864000,750792000,5019983000
2023,3609294000,7667536000,593425000,6654236000,454400000,2625366000,146978000,286070000,37309000,641807000,5995046000,869651000,5236217000
2024,3944110000,8335799000,405081000,6772151000,384315000,2951445000,132283000,412516000,58369000,869871000,6293611000,958453000,5574269000
