Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,588577867,1628651593,26926995,978684856,1328104,444233121,3277519,152444479,18443803,1628651594,492973597,1296154461,53674903,392815309
2016,563818352,1833840624,36137132,946928239,2633254,533090571,5012325,231384189,17577838,1833840624,591955472,1423958867,48627340,439678627
2017,538656134,1949622300,33151413,930201516,1039833,461850894,4448141,122226115,19087970,1949622300,369055768,1792139221,50623852,484711978
2018,545399293,2107108644,28651938,941108272,6664418,524738624,7374981,123722430,18785636,2107108644,369550306,1967992075,68378239,534373766
2019,644578182,2218716913,40276959,1025592684,12996053,550052074,11021863,144636701,21126900,2218716913,456176933,2045307973,43557302,596093034
2020,673893191,2286891376,28749846,999024599,2276391,527567615,20906735,97650687,22274232,2286891376,490747064,2134065275,40190384,639859219
2021,758551247,2291939170,26925225,1039868901,14309251,496616794,17035414,53646720,22093367,2291939170,454193845,2259485918,27746157,673740374
2022,924480492,2346573728,25519544,1100177168,72122771,574663291,7087480,79363352,23800021,2346573728,467683895,2362641367,43763596,699969022
2023,1081127063,2633842534,50237666,1181591246,44856380,865859974,7746139,275758325,36546363,2633842534,557400429,2614159590,71184197,730427062
2024,1224477567,2870964085,39474391,1283356693,121545131,769197551,8213211,133368549,36018232,2870964085,550501535,2875469460,94945055,809656282
