Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,11374717,14698549,156304,5861571,10131,11274464,105567,278367,150994,850176,7306151,35161,15380234
2016,27856533,14619913,634474,20984619,44788,13990581,133417,730490,435848,1109969,7978942,135161,15604858
2017,27391429,14632992,353652,19619817,93595,13756311,53915,120440,483925,1125739,8742707,135161,15618189
2018,32444149,15369105,501583,20275507,650137,17603737,35827,726793,527847,901893,9592204,1039447,15795361
2019,35054093,16310676,570410,19892885,494577,18805151,222074,1559400,670841,1453315,10701889,1187577,15931324
2020,41730546,17660474,139942,19857872,197041,22760888,413584,1279576,560455,1831002,12556084,35161,17232279
2021,43154965,27174822,195597,24045847,489531,22846790,188967,1710410,463362,7513184,13426478,3858747,17372148
2022,39551042,37720846,174849,24451179,902991,23596198,240508,774433,581840,15461134,15787922,3779981,18843629
2023,38098328,38768260,1064925,21973145,138634,25448440,176352,489111,324366,16083514,17395863,3729704,18369927
2024,37508157,45125409,588701,18687039,444880,31159952,4775,3688618,311363,4708157,34410689,1405796,21938792
