Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,219818672,371441769,8906549,256621712,1487619,164415184,1381374,6505135,5655201,371441769,149129823,248330832,24179282,141248232
2016,212647759,411117030,18662796,261138861,2301161,195196986,382612,27529678,5479872,411117030,143707058,283379685,42620566,145231480
2017,200845131,445271317,15664538,260199099,2529732,171483991,1078764,9974231,5332385,445271317,164162619,296824387,44044053,138611665
2018,216528435,473585684,12727470,314923291,8366657,182197311,2200146,9990931,5173776,473585684,148097773,342392271,47264221,142531919
2019,235624230,513407531,24269517,346187459,10410502,204972938,992824,29539018,5311983,513407531,185083431,350368899,54730703,145644857
2020,164249266,563774519,17943463,314940374,16776821,166658765,3576140,10447270,5822973,563774519,226308050,369787333,55016544,151357707
2021,159331362,588378355,26085819,320092275,17975247,194133045,8887856,20342342,5288645,588378355,228899859,395248010,60076783,158910182
2022,184928810,583718553,28212576,302169877,32777962,212717916,3273053,7547851,4131718,583718553,121037516,504781988,65067799,164939810
2023,213979953,582196528,48636024,331881438,33433259,231686938,5401118,2623682,4346632,582196528,123129785,517509047,59405041,174658300
2024,253252533,598180287,35869268,355822945,29329150,245784703,3962828,7651913,4767036,598180287,132444653,532707322,66440498,178880366
