Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,37987018,141405248,3119085,83740584,522942,57434769,717407,8249844,1297086,43030671,91626617,19372122,67023503
2016,33871450,141581834,7266574,82317749,936402,52326672,272414,346405,1228911,47874234,91842466,19719116,67036542
2017,44515650,138090244,6289107,81264586,641694,58371660,359563,17186,1250237,43617255,97523994,18398994,68400804
2018,56067301,144248804,2808766,84289978,3207124,61967624,442109,459410,1049253,21194762,122433040,10373364,85247673
2019,69283016,142968268,8439997,93559797,1892090,63144087,258868,24356,1174401,21926778,124708673,10531120,85175817
2020,86015043,145175805,3225813,85837288,5662721,68938321,1634438,143769,1478330,27076273,126133640,11564072,84748299
2021,130806645,138880677,3428739,112457596,5601730,69827922,1522728,1268102,1710224,30158703,124691165,7981816,90199443
2022,180121567,139970268,5059248,140740588,9649292,75308053,4076899,696473,2292843,36319735,125632029,8725895,91134326
2023,182818726,159018001,15781533,148110951,1937171,94639791,10959717,26479,2375311,49135433,137351860,8864268,92206602
2024,177072177,187734050,11445850,141861625,2142121,93591942,437020,975145,2048661,77066837,142916262,9718107,94673068
2025,181191264,201044250,8092493,128387269,4410482,100159914,1308463,3871285,2437437,84140207,148682425,12099885,99369976
