Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Governmental expenses,Governmental capital grants,Governmental revenues,Business-type expenses,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,13427701,20940126,138405,10162823,205448,6425236,119000,321530,105471,,,,,2922507,18727809,281605,11223870
2016,12220914,21029263,219593,9300132,156467,6123521,108750,255896,93959,,,,,3109343,18991938,946079,11223870
2017,9523621,24541603,169654,9874594,109740,6844365,3905,407703,130307,,,,,4715078,19072235,3777705,11256766
2018,9690611,25707397,110179,10026248,134247,7844454,109937,317963,143403,,,,,3950792,21083821,891788,14466144
2019,14254948,33217655,393055,10371919,73821,19788407,197509,7220394,103639,,,,,4726218,24826318,549112,19242072
2020,23817962,36255686,298260,14971025,126503,15557161,1946251,2784151,166869,5135870,0,8839179,2866026,7468045,25220774,1407194,19875849
2021,21706318,44712734,348594,11484052,125448,18802530,446260,3192543,140026,5640455,2743000,12707416,3471386,13376138,27632232,3209456,19882414
2022,28207337,51720251,257944,12754836,370412,22515652,513019,3729524,186745,6130839,3643180,15291118,4528789,21389133,27907942,3504321,20001826
2023,50845547,52977702,593105,30481562,103755,20110595,668669,17690,343795,7454490,17690,11914214,5885353,20234136,30833053,928111,23686307
2024,55449725,54618156,519917,28816764,70970,22698031,543226,21290,413923,8324663,21290,13593825,6504341,22691539,31503857,1332860,23686307
2025,60878070,60065731,453644,26827743,119974,28466454,911949,2567305,304065,8804967,2412562,17925757,6911823,23672423,34847718,4446582,23686307
