Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,18352825,79512403,1523664,46489370,8503,27144129,32377,1457917,836051,25438405,77540911,2580988,33891626
2016,14143427,81505196,3222674,45902000,181957,28078904,44839,1133582,699315,21187724,85305670,1010670,37198821
2017,14470425,78896991,2730036,41975878,226278,30106856,126776,377400,605867,17562411,90355109,165056,38162243
2018,25437979,76373271,1465206,47643169,1264264,31760882,92883,751356,719953,17659895,91330622,167410,38951931
2019,22684936,76389095,3132638,48107170,330986,31484859,34894,398598,694525,18952780,93264748,116187,39705210
2020,21898792,74778348,1722121,42416000,1511802,32972097,959705,305866,641904,20712509,93481102,254510,39815184
2021,23082466,73462706,1588121,40711588,1457564,34016891,113234,1976170,586607,18500203,97672107,713620,40849501
2022,42454720,72266558,1684614,52542384,6183440,36613468,1624298,276580,1069211,19416140,99816293,482546,41723149
2023,45302786,71802239,5109530,57757642,3003967,40198270,1983954,115439,840324,18134669,103836779,1054321,42686532
2024,45910246,73490618,2824987,55839248,3114021,39059290,1081419,141754,874264,19951840,107011455,1719160,43665374
2025,51122793,73315265,1608718,60047633,3463061,39068492,76258,28803,1072109,18936927,110400766,2379080,44896027
