Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,414000000,1162000000,33000000,869000000,2000000,378052000,12815000,12717000,26899000,1162421000,138433000,869141000,34321000,725934000
2016,426000000,1208190000,97000000,959000000,4000000,401545000,13761000,12319000,26438000,1208190000,169306000,871787000,42444000,726495000
2017,500000000,1264092000,83000000,1018000000,4000000,443291000,14406000,15547000,27908000,1264092000,205848000,896828000,49021000,755697000
2018,528000000,1411025000,56000000,992000000,25000000,550613000,15980000,101970000,19602000,1411025000,208852000,1033235000,54486000,787337000
2019,486000000,1477982000,105000000,1095000000,6000000,481516000,17730000,17086000,19195000,1477982000,148877000,1151110000,73862000,824943000
2020,506000000,1520074000,64000000,1042000000,41000000,465445000,11997000,9531000,19435000,1520074000,179838000,1180130000,75192000,856967000
2021,612000000,1544518000,59000000,1090000000,41000000,496730000,19645000,13165000,17677000,1544518000,186895000,1214160000,80804000,883275000
2022,878191000,1595691000,136744000,1295144000,107668000,561514000,30880000,4963000,21084000,1595691000,165186000,1298762000,89865000,917171000
2023,902280000,1688611000,149587000,1345922000,29646000,663056000,23196000,29601000,27864000,1688611000,215035000,1337781000,115460000,952946000
2024,1057642000,1818283000,98998000,1433288000,32410000,681915000,21139000,29039000,28131000,1818283000,251968000,1402825000,154200000,999590000
