Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,78062955,230819382,4000407,105518286,824173,73469537,3373672,1529589,1841830,35933049,269037865,7564169,131537873
2016,74457534,234929505,8299887,100439776,874880,83094261,3878523,5875658,2068775,41729789,272700335,8655505,138404279
2017,91349475,232396567,7294532,98523142,843400,87969718,3673383,3255479,2027789,39114479,262895466,7542655,162903260
2018,104557877,223292108,3983503,83744978,3055490,88910193,4209216,1007365,1299198,42485283,263770298,8278160,164062658
2019,112752922,236560093,8196101,97062224,593445,88712223,4363634,4484000,1016877,43805452,270797367,22737372,168029463
2020,124215054,239102893,4021145,88080509,3487242,91018839,6710961,3916395,958518,37090751,285995513,18995947,180507769
2021,140026134,228258989,3868717,87279704,3135171,92507042,6013508,2632131,823081,43535783,291295111,3080002,199432804
2022,154014464,225449552,3621886,80263983,7974591,99015034,3359341,3086271,680922,37567336,313199809,4093375,203205566
2023,156752025,236045626,11862908,92344650,1403315,105414401,3862614,2063974,568894,37688637,336154346,5631816,207874908
2024,204526438,257222966,7615491,131365804,1859011,110754380,3988934,4358809,898560,53154192,353459157,3207992,214898182
2025,187734625,288663517,5024561,118408904,2904158,108050922,4495660,3144559,1803711,73948777,370593242,4414358,217839408
