Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,68130267,145622851,3797483,112529339,324804,49059153,1351379,0,3379380,21438335,150941634,5041645,78127349
2016,71363615,145801640,7312216,112625061,205175,56263504,894947,3612835,3200431,22229739,151144028,6127832,82712301
2017,70072295,149536020,6187642,107650577,843023,55611735,748338,0,2935851,17592358,165266850,7326376,82953586
2018,75804403,147923620,3547783,101696878,2178647,60585046,2184968,0,4304629,21262317,151688172,6614615,83973362
2019,86792467,150391498,6942839,113277487,262105,63652991,1273543,236500,2928389,20378307,160004258,7375756,85743085
2020,91953807,151394571,3780612,104495391,2338055,67325255,4496757,0,2794842,24198098,162566430,6953731,88655491
2021,105788252,150482978,3596939,96658037,3046286,73855940,2546121,0,2331002,25041981,166773577,7775135,89464075
2022,127051691,146824954,4224869,100770683,0,84304556,2272438,0,1969847,24297021,168562594,7775135,90361527
2023,142103158,152501485,10510444,103470381,1038631,95380898,1615093,0,1746748,15409587,187749363,7180242,93227689
2024,186915407,159056721,7670647,126892578,1249547,104505119,1572726,99051,2712975,14739011,198800893,7633631,95200317
2025,222377398,168730046,6568123,142889921,2235250,119142417,1441074,0,4127100,14964711,212148879,7886235,98178689
