Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,260073563,579919509,11285910,236364441,2016250,148086935,2112550,27168119,4630523,82535234,500245567,27421039,291681284
2016,272964487,618575212,22910526,259737430,2499542,168273045,2459898,39081181,3007969,81233723,523406085,13543122,324517517
2017,297699820,634306544,20250702,262968635,3076756,174218416,4291331,32212810,3201522,78777672,547743024,8536534,341631182
2018,297836659,661338057,9104138,231539042,9643521,192901896,2640360,40252474,3194723,87827071,558271617,14646529,352588290
2019,364623915,736106527,23482611,327104126,2059592,194841422,4177873,28243391,4602955,129598600,568338602,26752404,359460004
2020,352072408,707068218,11241258,280760622,10367488,194340018,13461383,15479320,3885943,158399347,580295182,38109751,364645779
2021,427092097,769687735,9868832,323509008,10457718,211204655,17727042,15225806,4439899,207112783,583741366,47439627,395043288
2022,514982273,844570202,14313955,514774115,25103143,230963154,4028678,24325141,9746345,202078199,643380011,57381229,402752496
2023,567743991,920065578,43881524,617520264,6918252,275666452,12631279,18492051,11758614,276139925,664904805,56134684,426076482
2024,509026808,1085103401,30368590,594015947,5733514,332207703,30110590,41593255,8078044,378743444,711136830,79501492,444303336
