Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,41429643,182109831,2129808,85726945,0,55094297,2354591,8074143,1707491,26880821,134599378,6630259,75667073
2016,56267946,194418431,3303738,101224080,0,69129252,1888507,17787699,1552317,21443080,160572431,4304454,78948618
2017,65520702,213543982,3911976,111233098,0,68547635,2486398,9632754,1705104,29110087,173418961,6873920,80414545
2018,85931552,242945853,3112825,120471245,873747,102151561,2103889,36989095,4970121,18558604,209504434,16017411,82947168
2019,91609593,265255589,5302612,124123057,88990,89873725,745109,21437769,3244002,23589076,230384841,15199626,88667682
2020,91469483,289379607,3882069,119274997,1254563,88533995,4692027,12257103,1961911,43899157,240431549,4739373,102935298
2021,164515455,305929323,4234436,135249258,1213921,150265248,3830214,65492248,1684428,44408219,261667313,3185435,107920358
2022,182197146,335999376,4066725,144280349,7702431,109640886,7048990,18229632,2258043,38193092,298733534,14309618,109378462
2023,174729842,392905050,7731948,137755373,4665362,155273992,13750476,38462155,1792689,75105681,319198593,23079054,113532806
2024,199800810,425697176,5556152,155979539,4415522,145657811,1513766,25495322,3531579,91583412,344722013,26502166,118184213
2025,194812952,441541453,4628626,142539694,5432990,127385232,2681005,4032372,2212312,90957624,365567005,24405331,126394631
