Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,94612926,524953666,6722124,210491742,0,126461218,1008751,15601572,4843447,118584147,423377153,14501388,221292889
2016,105959441,563127836,17362485,245045819,2063862,133413247,767307,12397327,5345071,129292972,458050862,7572592,238556498
2017,106487595,595229865,17027681,263633443,1982841,131656143,744621,5005315,6344763,140948659,488742711,12217006,242558012
2018,118293997,622974724,14872275,301325497,6702228,158535007,537571,16038829,6567752,121831864,543707702,15658645,250923558
2019,122412876,637643249,27513644,320079480,2545512,154729251,364704,13159318,6903807,120507269,572218844,6998877,268697115
2020,146779974,675100196,24787895,326443030,6815718,189799038,3644625,27934096,7052705,127116552,600933113,22532567,277739140
2021,164811476,715787231,18252722,287565606,28909745,202343484,6292048,39741697,6676181,130182972,652414532,24674233,284957043
2022,205766689,751582599,21639947,280292433,49897493,201961480,687695,32506744,6538536,128928051,700362985,10852723,313539369
2023,238084831,810827177,37480161,369794865,25119848,211775748,679548,27334560,7369330,150811167,732706560,23122040,334925400
2024,320541222,897143380,27347347,462234522,20232446,253618253,994236,36263271,10510394,219212008,757491559,33655604,347854658
