Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,329621000,906603000,15686000,403894000,1544000,273841000,2118000,56553000,8019000,47859213,840973780,47474198,469393224
2016,395435000,938691000,26630000,436284000,1300000,324575000,2067000,78564000,9020000,52262427,882225094,52991641,496575513
2017,468340000,1040555000,25646000,456056000,1053000,425394000,3353000,134448000,8458000,68875062,979009226,38829149,544254502
2018,505956000,1112998000,19594000,473176000,7078000,394333000,2794000,89179000,7617000,75348773,1038001372,76034686,571872496
2019,560515000,1163371000,31806000,555760000,1278000,378102000,3500000,54839000,8594000,113801163,1050929223,102668672,598303746
2020,601041000,1260254000,22746000,591337000,9987000,423480000,15764000,73685000,8777000,169649997,1082389340,123784176,642590413
2021,646934000,1373478000,26528000,651899000,12243000,457002000,12464000,91683000,8011000,217343642,1170539979,124350110,677692357
2022,827678000,1455512000,28328000,783632000,50120000,477809000,10903000,82493000,9113000,241346615,1251421400,103461655,740312937
2023,925824000,1655364000,55158000,872064000,36517000,677226000,6286000,205442000,12234000,257260733,1403442469,117249894,820488133
2024,1103784000,1834990000,40168000,1039805000,34726000,662887000,10719000,131733000,19073000,330154597,1481317990,123615357,919835550
