Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,124746000,423730000,11655000,335716000,,192087000,13825000,1277000,3745000,27577146,429294481,14198221,278835463
2016,161680000,428603000,36178000,405748000,3885000,205812000,14075000,1012000,5092000,37088298,433461348,19529441,281635083
2017,154845000,455338000,31449000,417984000,3885000,219959000,15061000,2150000,6081000,42140489,454799998,26062973,292799903
2018,191434000,493755000,3885000,474225000,16908000,236470000,16183000,8152000,5711000,56397375,476622363,29785531,309307644
2019,225052582,526383503,39496962,561977876,8137905,251139641,16467578,26285784,8891530,54542091,514493420,21423449,332753748
2020,253123580,564698505,19127273,554665943,23638062,267920593,26285748,15425200,7222299,76570428,529573036,29360293,343651061
2021,275445375,617536722,18676288,591969869,19459919,281767138,27990362,12237069,7817157,83587738,560677284,49201414,362333805
2022,361799135,660539654,23038367,633420799,42046438,304300676,25430852,7304265,8109622,89494750,585501909,76198323,372654367
2023,459149685,786113560,60853656,851317110,5794846,371815419,26916322,45159739,14194564,144952596,611140122,87496543,427827414
2024,459770391,915338022,46954531,857708077,11420992,425702040,40685161,37431324,13971699,146772779,708688226,42833007,528839825
