Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,17706753,112178833,1131338,47443132,101747,27554536,716740,2820654,985676,112178833,28175017,78127479,2876969,39775102
2016,17477308,110849611,1735505,44284215,159530,29527473,1484689,1688896,1227861,110849611,22068427,84722034,4560178,39208427
2017,15925515,112656539,1774440,41211714,117072,31687984,749828,3274505,933038,112656540,10124051,102104561,0,44778883
2018,37003730,109404020,1529947,56894428,977249,29146930,382950,0,1200547,109404020,11130960,102648847,60778,44906429
2019,34030452,117318632,2080415,55723570,180681,36685827,548105,6311017,1283306,117318631,13950349,107246443,2069061,48349761
2020,40502865,120270732,1305276,60270805,798328,33899727,1232106,131790,1255703,120270732,14095723,111496550,4278160,49539627
2021,33775146,127718736,1304031,57881086,993842,33894411,783502,919461,1702943,127718736,17564730,119160654,1113667,54159103
2022,39588446,129618691,1326091,58349063,1982472,36124555,732166,638829,788355,129618691,10321273,129550761,3111089,56059012
2023,41829323,127864964,2127607,56024073,458581,38516752,922553,430389,684026,127864964,10883296,131062070,1895666,58749360
2024,37973345,127688124,3155264,44991908,463874,42391453,4886819,52980,569958,127688124,11263138,133416482,3827749,59247595
2025,58930328,129585797,1799480,61246837,763555,41970483,1142014,2534085,702898,129585797,11347866,138734053,4000542,60436898
