Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,136875000,377523000,6501000,210026000,1733000,103453000,2966000,479000,4488000,159879199,278883248,4119271,138828738
2016,113321000,385219000,16616000,208946000,3158000,112852000,3336000,4575000,4016000,96505321,354246916,4949245,142682001
2017,111718000,408942000,13559000,264994000,3757000,113230000,4911000,1648000,3743000,101113560,363659207,5891872,173945973
2018,107749000,414837000,7337000,208289000,8478000,126189000,7086000,225000,3562000,112583013,365935889,3488605,178298487
2019,121909000,418387000,18843000,225062000,3341000,132183000,8357000,787000,3453000,83800101,410828131,4151457,182565445
2020,146398000,422565000,8046000,213916000,17716000,128999000,9706000,553000,4873000,88169647,419840239,7022943,187909494
2021,179112000,413268000,9578000,218879000,16049000,135782000,9532000,244000,3681000,87621610,429129269,3445073,192312504
2022,200742000,413970000,12190000,193984000,30869000,152611000,13154000,455000,4012000,91372938,441236591,3943725,194953052
2023,231931000,422252000,31800000,259464000,17077000,169007000,11629000,3151000,4441000,98903403,454429831,8846599,197498304
2024,230770000,439886000,22026000,241194000,21004000,169013000,9541000,3895000,5390000,108035526,474717085,17347727,198462348
