Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,514927000,1377152000,36749000,523929000,101000,528529000,18648000,24592000,8887000,1377152000,190483000,1721880000,30009000,632853000
2016,547509000,1423229000,89785000,602377000,6562000,547870000,13848000,21093000,10309000,1423229000,182203000,1818499000,24538000,659601000
2017,546810000,1502456000,81889000,646673000,5162000,565592000,12736000,19821000,10897000,1502456000,215682000,1890362000,27533000,698409000
2018,589656000,1565008000,43265000,654179000,61542000,614764000,15901000,17594000,12725000,1565008000,207073000,1993044000,12621000,734818000
2019,636801000,1629991000,104035000,799113000,22166000,657544000,16419000,28149000,15661000,1629991000,198681000,2113560000,12874000,756137000
2020,639093000,1724234000,50652000,747693000,66334000,649536000,38930000,16493000,13138000,1724234000,195655000,2257249000,14091000,785083000
2021,718944000,1778664000,47953000,812221000,75522000,638485000,38178000,5732000,13461000,1778664000,213996000,2350435000,17489000,805235000
2022,770604000,1841267000,66321000,794523000,150656000,674631000,46288000,8093000,12831000,1841267000,233562000,2448613000,34949000,818999000
2023,742282000,1957532000,192427000,1053136000,31949000,772229000,37057000,23669000,15905000,1957532000,263342000,2583668000,51765000,842530000
2024,761970000,2093820000,147830000,1065492000,34731000,829750000,20474000,33398000,16943000,2093820000,269404000,2770329000,53134000,883609000
