Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,77556000,106794000,1859000,81472000,99000,38937000,101000,7907000,1469000,13069457,81992434,454093,38103575
2016,87210000,127717000,2855000,92578000,97000,54392000,127000,12080000,1571000,26409034,90732838,3418688,38238660
2017,89429000,153624000,2911000,106860000,169000,57162000,198000,12818000,1774000,38937548,102504827,7546113,40720657
2018,84196000,296620000,2820000,129720000,826000,75938000,138000,22707000,2297000,57225232,159916535,8013744,125027698
2019,93018535,345918476,3905145,150825326,132141,99175629,155998,31715894,3070297,43548996,204861872,15875943,144773135
2020,92971160,399059836,3898287,158854344,748026,113834424,1252583,35708211,3088624,58740622,232815078,23185712,159720461
2021,146566000,474797000,4265000,201715000,691000,163449000,2496000,70630000,3691000,78822725,274363096,28293859,182110227
2022,171694000,550128000,4633000,223646000,2353000,175713000,524000,73731000,3199000,104527474,318794414,8321248,223669058
2023,210226000,646847000,7608000,284528000,245000,188374000,5800000,63954000,3664000,130044795,381645786,13435644,246463024
2024,233971000,777194000,6118000,331996000,690000,230468000,9467000,82900000,5008000,199185696,418562834,29740695,276940684
2025,221394000,903078000,5223000,368490000,1362000,215543000,770000,71584000,5839000,203930761,486394296,47334022,337222595
