Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,99070000,483427000,13642000,407331000,114000,231170000,967000,9717000,9884000,483427000,98717000,717123000,3743000,243410000
2016,107459000,494423000,41206000,448829000,1183000,253017000,3690000,5849000,9524000,494423000,109093000,736556000,2280000,250737000
2017,150614000,507080000,34537000,519481000,11134000,266819000,1821000,7925000,11136000,507080000,102904000,775198000,1202000,258271000
2018,211992000,537009000,16442000,547813000,13076000,286230000,7248000,2402000,12984000,537009000,132481000,798338000,1021000,262956000
2019,218629000,577217000,41431000,620298000,1050000,298243000,2564000,1469000,14417000,577217000,152153000,841593000,2163000,267302000
2020,237201000,601799000,15605000,571770000,20677000,312476000,10897000,3515000,12386000,601799000,119931000,915703000,8834000,270874000
2021,283700000,614870000,17345000,595627000,20786000,313061000,4562000,1348000,12319000,614870000,107675000,958203000,12618000,276101000
2022,361270000,634243000,21731000,585292000,63280000,340515000,3877000,5144000,12399000,634243000,125346000,975666000,6531000,294013000
2023,467118000,692209000,62364000,741679000,36546000,394904000,16049000,739000,11405000,692209000,174015000,971564000,28380000,295663000
2024,506892000,762905000,38985000,748522000,38190000,422189000,8363000,1624000,12047000,762905000,237674000,982845000,54184000,298952000
