Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,19253888,81852455,1655118,49386561,0,30247470,3048086,3165930,1313299,6679121,87016411,0,29100723
2016,24220039,79909959,3469889,51579923,76923,33798598,3208558,4774983,1256070,2230666,94241102,0,29608489
2017,30613599,80146488,3693651,59093287,2718809,31867395,3305142,2421252,1527896,6502226,96063333,64207,29609206
2018,23506000,95078374,2675136,61615096,3425667,39034511,3603245,5357180,1503018,21324881,99915323,123664,30260025
2019,20761630,93719624,3953475,60820362,2882331,35034437,4014171,1132126,1369775,3726190,122745950,89524,30797212
2020,21318115,90520467,2317533,53839601,3907325,36896124,5107184,1304196,1154904,6155846,124157213,89524,30940171
2021,27079126,87642709,2390192,53478882,3675839,39343299,4421780,2541306,1153474,5306327,128877036,0,31795393
2022,32496190,85992302,2259387,49502030,6044819,43305110,5396944,475387,1045677,7294439,132080829,100312,32365619
2023,61194197,84526248,6263971,60731723,8808445,61290366,15886175,146733,1255421,10620321,134238811,142807,32619794
2024,74635432,105724833,5479296,93071705,7968615,57721504,7304497,1072360,2698262,31070128,141347015,154307,33132588
2025,70689991,129392202,5152678,109530513,8257721,66497601,8108722,1555534,3246613,56480599,147586409,256870,33203021
