Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,35936774,296372593,2773947,154661040,215573,69627682,418309,3607310,5302942,26545652,281292879,938897,135194018
2016,49688752,296366898,7041331,163243380,913048,72841959,196662,3049464,4165018,30593098,286129063,2680870,138222502
2017,50174758,304942581,6088020,152438397,952426,82316876,1942620,6016867,4027789,20463756,310963496,1725207,145974434
2018,52367355,315101679,1584478,140779848,1418824,89123434,411439,7752329,3828514,23226471,315737241,5486299,153878055
2019,50296013,311863507,7615629,135052911,2059546,87690434,1272678,1146782,3286942,23642491,322884435,6493894,155851266
2020,45285576,324500861,3758221,120725814,4535176,101139577,1641907,11704129,2990051,26873434,336493828,2395941,170256523
2021,58846302,331596067,3903634,111470985,4080917,117224148,9470637,14282569,2722316,22362234,353295610,3639476,180102968
2022,58414181,339253951,4222170,95626163,6628113,114301827,7988335,5460395,2650740,24643926,364194738,10451662,183304701
2023,104257740,363428217,14350247,151120057,2759329,140141685,3499961,29726560,2878024,24989890,386735593,6383249,204949232
2024,100022336,380548802,11266039,139266812,2477226,141033353,3445111,26384100,2949340,23122614,408022112,2475058,223489984
2025,87214546,408698118,9407762,125803830,4210479,158268941,11610738,32921652,2599479,24250553,428745208,16362445,235682991
