Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Capital assets (net of depreciation/amortization),Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,50244000,209110000,7177000,136853000,872000,81396000,521000,4438000,2732000,209110000,36599000,186284000,16605000,169980000
2016,55758000,209632000,12891000,140936000,618000,91081000,2036000,9055000,2313000,209632000,35666000,192062000,11546000,182717000
2017,66886000,214633000,10883000,139602000,363000,96548000,1135000,12825000,2314000,214633000,44203000,194392000,18582000,183716000
2018,93856000,211919000,6282000,149096000,3113000,98291000,544000,4521000,2646000,211919000,44439000,203302000,9295000,196620000
2019,113252000,220318000,12007000,173159000,108000,108506000,1580000,9484000,2985000,220318000,48112000,217965000,3095000,208683000
2020,138287000,256051000,5893000,180338000,4651000,141988000,5432000,36239000,3312000,256051000,47351000,245245000,15030000,222917000
2021,155670000,260159000,5877000,189339000,4344000,114793000,2245000,9173000,3442000,260159000,55935000,252468000,11116000,232339000
2022,178601000,266876000,6191000,178978000,18896000,131663000,9774000,10081000,3316000,266876000,66794000,257396000,14331000,236071000
2023,204618000,281972000,16435000,224388000,8627000,138924000,3094000,13525000,3860000,281972000,78263000,265867000,20605000,236228000
2024,239496000,293110000,10720000,240952000,8740000,143060000,3048000,8547000,3579000,293110000,79467000,286735000,18887000,244987000
