Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,25734940,100637652,2150094,44687418,96109,30356563,521003,1745994,336024,10341269,144056638,805008,45575390
2016,31000174,105929696,4919495,49109187,41097,37581894,744975,4913651,319601,10931534,150809507,2458178,47415017
2017,46986753,106402696,5312137,60191388,374748,35624133,20832,2754486,460734,11296214,154839440,809864,50446981
2018,57753761,111550309,4414494,69248647,698092,37454176,18879,839290,776042,11854487,158205118,3793963,54151314
2019,48808184,124022350,5428283,68619661,8350,39913853,453212,2274863,831218,16904589,162272506,12919744,54816871
2020,54448263,132426151,3425455,64629314,997324,49596244,2240037,8548746,890680,14116509,175688373,14745573,56505725
2021,63671851,137995665,3287479,61837914,1051582,52662310,219956,10542314,1089344,20547461,179869297,2142240,72068108
2022,95449456,141921547,3155609,74717651,3020212,58508026,11315,12456727,1165246,26036027,182475506,2944619,73475014
2023,94487817,155730012,5957195,65898504,1019721,58277980,256220,5816282,1414899,34263924,188676933,5938266,77105295
2024,117886506,170534159,5250488,125847621,1224885,68403274,184661,8426263,1672832,40875817,149336256,9278751,81269049
