Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Governmental expenses,Governmental capital grants,Governmental revenues,Business-type expenses,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,40009258,96002173,1476041,45926967,420048,28928387,234827,2498013,942168,17326020,1457517,18704601,7469979,17291171,116033584,581122,33486385
2016,39001147,97442584,2913126,44169204,509205,29524500,179979,2517051,994113,17630847,1549780,19600642,8355662,18781863,118007630,682582,34316845
2017,43077499,106941049,2513341,49208007,661289,35736103,234121,7283075,883962,18293606,5835552,24963431,9167424,21990624,127135043,133465,35827381
2018,40618455,113714051,1531105,46510857,1379817,35299459,159428,3905267,1017739,19402689,2544847,23175090,10295498,29310221,129063154,294077,37157841
2019,42705165,119245486,3267240,51647097,544912,38763915,219411,6164080,915915,23983050,3930917,25782889,9727920,31668618,133997502,119465,39261046
2020,59108155,131708120,1935038,66615306,2092472,44167929,1761389,9589755,892956,22181017,6883535,30426067,10969259,25073742,153915126,190618,43345405
2021,65016265,144771774,1878256,76786762,1702314,41255266,276878,5466296,1403680,22441678,5422862,30385284,9679904,39996417,156007433,1248179,43964578
2022,84351206,152899390,2593975,98414401,3445147,41156481,269618,1527329,1885591,26034588,657170,27758260,10314089,35243925,173134157,1916286,44850005
2023,97934029,171851847,5318334,118138717,941292,59315890,997611,11099660,2766529,29155264,8559510,42762178,12121448,33380047,196526027,3236854,47326009
2024,84233949,192730315,4131675,112797802,820843,58898382,1855125,6612313,3839155,34597596,4541522,42554119,12847693,41391927,213889519,1404167,51948047
2025,83928455,214263215,4487534,129545645,1281934,54687248,1112613,3380926,3228190,36677276,3167437,39336775,13635641,38867347,244483945,1471357,52108317
