Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,12359060,66119009,1001592,44829745,37460,15353132,550495,1254997,469923,11082504,79720416,78478,1641520
2016,20004742,66972905,5107464,57659530,203428,14506034,202177,0,496019,13147251,80881121,0,2063878
2017,18726525,73139710,4575519,59931963,166578,16825431,581633,0,2365059,19786766,83237747,0,2063878
2018,44178628,71562307,3718236,56258355,790954,16626302,538273,0,2771762,11261731,93409250,0,2063878
2019,43251596,73139578,4387577,55798668,317632,19916448,895480,2127040,2663286,13290431,96367630,0,2063878
2020,42399033,70848355,3314815,50795626,734483,16292638,2056622,68146,1639671,10478676,99298683,0,2097243
2021,46499931,67761991,2944702,52839954,722265,17520711,42021,150000,1535312,10487119,99363010,0,2109741
2022,46537040,66942281,2831600,49307059,1934240,19505867,298867,0,1278873,11486364,100976588,0,2257662
2023,53225508,65563341,4249963,56074533,438301,21695794,123779,0,1371710,12684743,101869357,0,2329610
2024,54930738,62891622,3424636,51500520,385919,24335509,159362,0,1406043,12684743,102598642,0,2329610
2025,49591312,63853250,2549542,39430645,573224,28821021,18547,0,500376,13105592,105809929,29500,3273841
