Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Governmental expenses,Governmental capital grants,Governmental revenues,Business-type expenses,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,29038421,72099247,1326804,34492396,313868,25973198,13959,0,446308,16198139,0,16645991,8178835,19621465,59266282,2119236,38113899
2016,30222836,76651267,3119418,40478677,406222,26910779,35537,0,377813,17226780,0,16795870,8233585,19541404,61296980,6844473,38363782
2017,33534974,80264780,2535471,44632211,649020,27252394,16111,0,411910,17348939,0,17514378,7958083,22357705,62071560,9028551,38790017
2018,39889257,81585169,2084147,48026219,2630579,28124085,38350,0,381932,17265290,0,18226204,7722865,19767092,68739022,876223,47398541
2019,47510187,81033052,5003325,58629957,1917156,29228029,22240,0,562654,19843102,0,19179024,9287271,19388920,69650465,2368861,47598576
2020,46229396,86271976,1723006,56947863,1732820,30507106,852735,156855,692493,19298763,156855,19663155,8664099,20158622,72073744,6854992,48537935
2021,49592630,91384057,1561536,60718292,1602689,30844855,848051,0,653227,18184525,0,20227676,7986783,22283587,75184036,3897772,54392619
2022,56806066,93118650,1469265,61033962,3746376,33662171,609979,0,732657,18405354,0,22085659,8860416,20211202,80842818,1722999,57126798
2023,64872033,95112155,6536299,72534516,402449,38557209,2648020,0,845266,22236177,0,26569970,9351153,23187271,82344064,2845752,57109397
2024,64681529,101623170,4631290,72756856,937040,38754468,988651,0,1124148,24815133,0,26894601,10280764,22111251,88686006,1144480,63663949
2025,72702433,105052678,2877916,75707492,1531830,42765242,2714716,0,1397131,26365161,0,29983160,10248469,25083155,92367838,1487993,63840374
