Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,34330372,67133437,1592452,44626703,58750,42171144,7615653,19983078,1022201,15004188,51296329,246121,19101210
2016,27468599,74588437,2630484,47554234,81326,24115964,7863168,269185,990413,24113525,51724965,285392,19095395
2017,35317053,79630451,2540736,57541292,61642,29233928,8047113,3535255,1401199,31123213,51994788,329030,19095395
2018,28020718,86261186,2099891,59155915,1473559,26466424,7044597,426219,1184818,38634194,53239962,329030,19095395
2019,32753248,88324912,2919557,61920248,1124289,35893993,9166821,1861677,1131485,13217298,82968055,329030,19095395
2020,31862726,87007474,2748858,58798337,1789415,30698154,9725263,280000,1103925,13901192,83691981,329030,19245229
2021,39004912,88269783,3678331,65191956,2490752,30381504,10240349,1537500,1141125,13311751,87793860,329030,19648631
2022,50552953,86274072,3162986,63059752,4039271,41249161,13436151,0,1084741,13091627,89389501,329030,19719853
2023,60960507,91963548,4530813,64054480,3023242,50814542,16081255,0,1101951,13017275,98590135,329030,19719853
2024,76040739,89640344,4692654,60792004,3636109,47644182,9843811,1224997,1070459,12446059,100427740,329030,19889011
2025,95676274,90300229,3240800,69940438,2296287,49422586,10733592,1264994,1033999,13935760,101535478,329030,20623818
