Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Governmental expenses,Governmental capital grants,Governmental revenues,Business-type expenses,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,45236870,62280952,756883,45903278,0,22533996,70393,598606,1017142,16398874,130272,14439757,5795504,6957820,65187855,36995,31525578
2016,42512370,62548596,1900857,44595524,139845,21101547,92910,436337,1283842,14484913,0,12285112,6761607,6150835,68154835,657793,31521865
2017,41739482,60216456,2469682,47323218,213968,23174806,100866,1183524,1161107,19520310,397251,13410887,8992516,6323149,55865060,648609,31948824
2018,43820570,60359147,1447964,44180854,1215689,25741958,97170,466710,1144944,13663837,14000,14673253,8447753,6355932,56902625,1004788,32876440
2019,47122580,60904455,2714080,47763459,330993,26311964,89809,274159,1204227,14598772,5924,15005299,9297667,6388531,59013337,2033172,33702143
2020,48455487,64693718,1458811,45771688,1086937,26874559,101837,1056719,1187542,13935077,274729,15235928,9011754,3637332,46797989,8074641,49315603
2021,54741863,67081008,1535254,49803108,909167,28271959,63177,951832,1144536,13720063,693271,16696808,9655437,3973735,48966357,5208644,54127738
2022,66102513,66976610,1729175,53513430,2146497,32298947,113994,2995052,1119238,15385114,2446872,19851223,10411312,4946044,50917343,4813369,56020935
2023,69125976,68409270,4453034,56796230,165576,36365177,239339,1356692,1222154,18734030,1099379,22451361,11753044,5866337,52418848,6337543,56857892
2024,58040623,71166220,2885482,43150142,335027,37482124,382892,3491078,1078197,19727415,1943972,22313427,14174027,7697334,54740676,7558287,58526244
2025,55476434,80583834,2041825,48599811,818435,36960029,279376,2197763,1027730,22122276,839119,22059306,14761062,13941154,56465880,12923345,59379798
