Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,53951261,248473674,3802584,118702573,0,70090789,467147,12742760,3920570,51781916,221727601,259356,80023007
2016,57756829,253317738,9040953,117420679,199979,74577263,359928,13774181,3439372,45542631,241001425,235725,81662450
2017,71540267,261455758,11574625,119285421,158398,85005757,364935,18467335,2752525,41881085,260244784,393470,85100672
2018,85203111,264928363,9091335,118702593,1640666,85050237,346444,15456400,2659653,42911560,271019679,1270611,87823787
2019,90797079,266588619,11350034,118773189,124880,84881853,505924,10000836,2688231,45464598,278212323,2226423,91297067
2020,94259930,286186453,7911394,115705852,2150676,97187583,388250,17492672,2448009,60164502,289521307,4866591,95338149
2021,105957962,292222257,6359793,111004443,2013251,98042957,730139,14128601,2235277,49659313,312384674,391184,106497646
2022,124350836,294546555,5627208,105170427,5838884,104467997,663356,10809250,2118360,49000904,326088501,1083836,108644446
2023,156257449,292651644,11754141,124051898,742020,114506609,7069298,8101698,2179116,51760961,329776469,4348107,110444606
2024,151342357,308812838,8698520,119990596,760331,115328768,914644,4732191,2187465,68050494,337025260,8690425,112900164
2025,141630346,317435032,9354127,108433318,1904324,123725689,1258727,6698053,1703111,77192388,348293087,541363,122885238
